rank_among_TFs	EGI	coex_score	rank_genomewide	percentile
125	8084640	0.9868	2129	0.9015536853787108
126	8069684	0.9868	2131	0.9014612041061685
127	8055082	0.9868	2141	0.9009987977434569
128	8078868	0.9868	2142	0.9009525571071858
129	8072366	0.9706	2187	0.8988717284749839
130	8073858	0.9706	2205	0.898039397022103
131	8063318	0.9706	2221	0.8972995468417645
132	8055943	0.9544	2280	0.8945713493017664
133	8060109	0.9382	2314	0.8929991676685471
134	110431210	0.9382	2322	0.8926292425783778
135	8073624	0.9382	2327	0.8923980393970221
136	8054797	0.9382	2344	0.8916119485804125
137	8079362	0.9382	2353	0.891195782853972
138	8080658	0.9382	2357	0.8910108203088875
139	8068427	0.9382	2362	0.8907796171275317
140	8074795	0.9382	2363	0.8907333764912605
141	8073262	0.9382	2389	0.8895311199482105
142	8058971	0.922	2392	0.8893923980393971
143	8073958	0.922	2409	0.8886063072227874
144	8064714	0.922	2411	0.8885138259502451
145	8086415	0.922	2425	0.8878664570424489
146	8073417	0.922	2433	0.8874965319522796
147	110430376	0.922	2436	0.8873578100434663
148	8077571	0.922	2441	0.8871266068621104
149	8061953	0.922	2445	0.8869416443170258
150	8065765	0.9057	2516	0.8836585591417738
151	8067406	0.8895	2542	0.8824563025987238
152	110437477	0.8895	2590	0.8802367520577083
153	8069722	0.8733	2598	0.879866826967539
154	8061344	0.8733	2602	0.8796818644224544
155	8079512	0.8733	2624	0.8786645704244891
156	8084453	0.8733	2641	0.8778784796078793
157	8082166	0.8733	2654	0.8772773513363544
158	8058529	0.8571	2677	0.8762138167021178
159	8079742	0.8571	2690	0.8756126884305928
160	8078874	0.8571	2708	0.874780356977712
161	8073808	0.8571	2723	0.8740867474336447
162	8073956	0.8571	2742	0.8732081753444927
163	8086331	0.8571	2744	0.8731156940719504
164	8062574	0.8571	2751	0.8727920096180524
165	8076618	0.8409	2762	0.8722833626190696
166	8056036	0.8409	2769	0.8719596781651715
167	8057044	0.8409	2773	0.8717747156200869
168	8076384	0.8409	2781	0.8714047905299177
169	8075598	0.8409	2825	0.8693702025339869
170	8085446	0.8409	2831	0.8690927587163599
171	8062365	0.8409	2835	0.8689077961712753
172	8064297	0.8247	2901	0.8658559141773791
173	8067537	0.8247	2904	0.8657171922685656
174	8060514	0.8247	2911	0.8653935078146675
175	8073976	0.8084	2931	0.8644686950892444
176	8064455	0.8084	2962	0.8630352353648386
177	8059948	0.8084	2978	0.8622953851845001
178	8060206	0.8084	2982	0.8621104226394155
179	110434410	0.8084	3007	0.8609544067326367
180	8060819	0.8084	3010	0.8608156848238232
181	8082140	0.7922	3021	0.8603070378248405
182	8067642	0.7922	3033	0.8597521501895866
183	8071217	0.7922	3036	0.8596134282807731
184	8065811	0.7922	3082	0.8574863590123
185	8062507	0.776	3110	0.8561916211967077
186	8074777	0.776	3145	0.8545731989272172
187	8083919	0.7598	3206	0.8517525201146767
188	8076466	0.7598	3208	0.8516600388421345
189	110430048	0.7598	3260	0.8492555257560344
190	8085379	0.7436	3278	0.8484231943031536
191	8066883	0.7436	3284	0.8481457504855267
192	8061001	0.7436	3286	0.8480532692129844
193	110433298	0.7436	3294	0.8476833441228151
194	8078649	0.7436	3328	0.8461111624895958
195	8073204	0.7436	3331	0.8459724405807824
196	8061586	0.7436	3346	0.8452788310367151
197	8062129	0.7436	3349	0.8451401091279016
198	110430297	0.7436	3365	0.8444002589475631
199	8080553	0.7274	3372	0.844076574493665
200	8064504	0.7274	3380	0.8437066494034958
201	110434634	0.7274	3385	0.84347544622214
202	110436938	0.7274	3399	0.8428280773143438
203	8058376	0.7274	3406	0.8425043928604458
204	110431745	0.7274	3419	0.8419032645889207
205	8086191	0.7274	3433	0.8412558956811246
206	8062497	0.7274	3434	0.8412096550448535
207	8067828	0.7111	3459	0.8400536391380745
208	8070637	0.7111	3470	0.8395449921390918
209	8058462	0.7111	3477	0.8392213076851938
210	8056800	0.7111	3480	0.8390825857763803
211	8063743	0.7111	3483	0.8389438638675668
212	8071759	0.7111	3495	0.8383889762323129
213	8077242	0.7111	3505	0.8379265698696015
214	8079857	0.7111	3517	0.8373716822343475
215	8064675	0.7111	3520	0.8372329603255341
216	8076513	0.7111	3524	0.8370479977804495
217	8064722	0.7111	3532	0.8366780726902803
218	8064695	0.7111	3538	0.8364006288726533
219	8080107	0.6949	3577	0.8345972440580782
220	8080711	0.6949	3595	0.8337649126051975
221	8063931	0.6949	3618	0.8327013779709609
222	8074892	0.6949	3636	0.83186904651808
223	8068557	0.6949	3645	0.8314528807916397
224	110432904	0.6949	3653	0.8310829557014705
225	8075606	0.6949	3657	0.8308979931563858
226	8060747	0.6949	3662	0.8306667899750301
227	8083250	0.6949	3663	0.8306205493387588
228	8081994	0.6949	3664	0.8305743087024877
229	8074178	0.6949	3665	0.8305280680662166
230	8078318	0.6787	3709	0.8284934800702858
231	8073365	0.6787	3714	0.8282622768889301
232	8057516	0.6787	3736	0.8272449828909646
233	110433656	0.6787	3746	0.826782576528253
234	8060951	0.6787	3753	0.826458892074355
235	8056325	0.6787	3765	0.8259040044391011
236	8055654	0.6787	3777	0.8253491168038473
237	8062496	0.6625	3789	0.8247942291685934
238	8075205	0.6625	3799	0.8243318228058818
239	8055639	0.6625	3809	0.8238694164431702
240	8068920	0.6625	3842	0.8223434754462221
241	8079894	0.6625	3843	0.822297234809951
242	8069126	0.6625	3852	0.8218810690835106
243	8068029	0.6625	3858	0.8216036252658836
244	8077024	0.6625	3868	0.8211412189031722
245	8082265	0.6463	3893	0.8199852029963932
246	8070886	0.6463	3913	0.8190603902709701
247	8058087	0.6463	3922	0.8186442245445298
248	8058501	0.6463	3965	0.8166558771848701
249	110435602	0.63	3984	0.8157773050957181
250	8072280	0.63	3991	0.81545362064182
251	8070554	0.63	4007	0.8147137704614815
252	8060591	0.63	4012	0.8144825672801258
253	8065953	0.63	4017	0.81425136409877
254	8074481	0.63	4043	0.81304910755572
255	8067679	0.63	4061	0.8122167761028392
256	8076373	0.6138	4087	0.8110145195597891
257	8077243	0.6138	4107	0.810089706834366
258	8058517	0.6138	4109	0.8099972255618237
259	8062495	0.6138	4115	0.8097197817441968
260	8077685	0.6138	4138	0.8086562471099602
261	8060409	0.6138	4145	0.8083325626560621
262	8071623	0.6138	4174	0.8069915842041986
263	8070710	0.5976	4181	0.8066678997503005
264	8075170	0.5976	4215	0.8050957181170812
265	8066098	0.5976	4217	0.805003236844539
266	8057478	0.5976	4218	0.8049569962082679
267	8064668	0.5976	4243	0.8038009803014889
268	8073765	0.5814	4297	0.8013039859428466
269	8061864	0.5814	4313	0.8005641357625081
