NC_012870.2	1
NW_018396635.1	super_660
NW_018396636.1	super_663
NW_018396637.1	super_666
NW_018396638.1	super_670
NW_018396639.1	super_680
NW_018396640.1	super_700
NW_018396641.1	super_707
NW_018396642.1	super_708
NW_018396643.1	super_710
NW_018396644.1	super_729
NW_018396645.1	super_731
NW_018396646.1	super_734
NW_018396647.1	super_747
NW_018396648.1	super_758
NW_018396649.1	super_761
NW_018396650.1	super_768
NW_018396651.1	super_779
NW_018396652.1	super_787
NW_018396653.1	super_790
NW_018396654.1	super_797
NW_018396655.1	super_801
NW_018396655.1	super_802
NW_018396656.1	super_801
NW_018396656.1	super_802
NW_018396657.1	super_811
NW_018396658.1	super_814
NW_018396659.1	super_826
NW_018396660.1	super_835
NW_018396661.1	super_836
NW_018396662.1	super_841
NW_018396663.1	super_850
NW_018396664.1	super_851
NW_018396665.1	super_852
NW_018396666.1	super_855
NW_018396667.1	super_861
NW_018396668.1	super_862
NW_018396669.1	super_879
NW_018396670.1	super_887
NW_018396671.1	super_891
NW_018396672.1	super_893
NW_018396673.1	super_896
NW_018396674.1	super_912
NW_018396675.1	super_926
NW_018396676.1	super_932
NW_018396677.1	super_935
NW_018396678.1	super_945
NW_018396679.1	super_947
NW_018396680.1	super_953
NW_018396681.1	super_971
NW_018396682.1	super_979
NW_018396683.1	super_984
NW_018396684.1	super_991
NW_018396685.1	super_1009
NW_018396686.1	super_1015
NW_018396687.1	super_1023
NW_018396688.1	super_1028
NW_018396689.1	super_1031
NW_018396690.1	super_1032
NW_018396691.1	super_1046
NW_018396692.1	super_1049
NW_018396693.1	super_1053
NW_018396694.1	super_1055
NW_018396695.1	super_1058
NW_018396696.1	super_1062
NW_018396697.1	super_1068
NW_018396698.1	super_1075
NW_018396699.1	super_1087
NW_018396700.1	super_1091
NW_018396701.1	super_1097
NW_018396702.1	super_1100
NW_018396703.1	super_1102
NW_018396704.1	super_1111
NW_018396705.1	super_1121
NW_018396706.1	super_1124
NW_018396707.1	super_1126
NW_018396708.1	super_1137
NW_018396709.1	super_1141
NW_018396710.1	super_1157
NW_018396711.1	super_1163
NW_018396712.1	super_1165
NW_018396713.1	super_1169
NW_018396714.1	super_1170
NW_018396715.1	super_1174
NW_018396716.1	super_1175
NW_018396717.1	super_1181
NW_018396718.1	super_1183
NW_018396719.1	super_1206
NW_018396720.1	super_1207
NW_018396721.1	super_1210
NW_018396722.1	super_1214
NW_018396723.1	super_1219
NW_018396724.1	super_1227
NW_018396725.1	super_1228
NW_018396726.1	super_1229
NW_018396727.1	super_1234
NW_018396728.1	super_1243
NW_018396729.1	super_1247
NW_018396730.1	super_1249
NW_018396731.1	super_1252
NW_018396732.1	super_1253
NW_018396733.1	super_1257
NW_018396734.1	super_1259
NW_018396735.1	super_1261
NW_018396736.1	super_1265
NW_018396737.1	super_1270
NW_018396738.1	super_1271
NW_018396739.1	super_1275
NW_018396740.1	super_1277
NW_018396741.1	super_1283
NW_018396742.1	super_1287
NW_018396743.1	super_1301
NW_018396744.1	super_1302
NW_018396745.1	super_1305
NW_018396746.1	super_1316
NW_018396747.1	super_1317
NW_018396748.1	super_1318
NW_018396749.1	super_1330
NW_018396750.1	super_1334
NW_018396751.1	super_1340
NW_018396752.1	super_1345
NW_018396753.1	super_1352
NW_018396754.1	super_1355
NW_018396755.1	super_1357
NW_018396756.1	super_1360
NW_018396757.1	super_1364
NW_018396758.1	super_1366
NW_018396759.1	super_1379
NW_018396760.1	super_1384
NW_018396761.1	super_1389
NW_018396762.1	super_1391
NW_018396763.1	super_1394
NW_018396764.1	super_1396
NW_018396765.1	super_1397
NW_018396766.1	super_1404
NW_018396767.1	super_1406
NW_018396767.1	super_1407
NW_018396768.1	super_1406
NW_018396768.1	super_1407
NW_018396769.1	super_1413
NW_018396770.1	super_1417
NW_018396771.1	super_1420
NW_018396772.1	super_1427
NW_018396773.1	super_1431
NW_018396773.1	super_1432
NW_018396774.1	super_1431
NW_018396774.1	super_1432
NW_018396775.1	super_1439
NW_018396776.1	super_1445
NW_018396777.1	super_1448
NW_018396777.1	super_1528
NW_018396778.1	super_1450
NW_018396779.1	super_1453
NW_018396780.1	super_1457
NW_018396781.1	super_1458
NW_018396782.1	super_1460
NW_018396783.1	super_1473
NW_018396784.1	super_1475
NW_018396785.1	super_1481
NW_018396786.1	super_1489
NW_018396787.1	super_1495
NW_018396788.1	super_1497
NW_018396789.1	super_1501
NW_018396790.1	super_1511
NW_018396791.1	super_1520
NW_018396792.1	super_1522
NW_018396793.1	super_1448
NW_018396793.1	super_1528
NW_018396794.1	super_1529
NW_018396795.1	super_1531
NW_018396796.1	super_1532
NW_018396797.1	super_1534
NW_018396798.1	super_1539
NW_018396799.1	super_1543
NW_018396799.1	super_1666
