gene_label	SBC10	SBC4	SBC23	n_high_juice	min_delta
LOC8078033	0.2897708888142826	0.2915145253139908	0.2821163581714507	3	0.2821163581714507
LOC8069001	0.2938401255554712	0.27382399011462066	0.26023202848072213	3	0.26023202848072213
LOC8064596	0.23243688202172197	0.20112108096187598	0.2701937094550164	3	0.20112108096187598
LOC110429757	0.1850248340935323	0.1829456764421983	0.184497088093808	3	0.1829456764421983
LOC8059829	0.16881175766121082	0.1750181669985083	0.18296706361314197	3	0.16881175766121082
LOC8084557	0.1916419828662654	0.2027303269123576	0.1687545125046565	3	0.1687545125046565
LOC8059071	0.1945689395371689	0.16650596786488409	0.2059095476155991	3	0.16650596786488409
LOC8077480	0.19378715969268331	0.173171688687565	0.165182030109283	3	0.165182030109283
LOC8072638	0.166663730638151	0.16506513659085714	0.185394543647049	3	0.16506513659085714
LOC8071433	0.1983656211783195	0.1751560874218292	0.1634258742822474	3	0.1634258742822474
LOC8067805	0.1776841245583742	0.1624195915793109	0.1878234791475179	3	0.1624195915793109
LOC8070972	0.19905459260685002	0.193726908166714	0.16085204071867099	3	0.16085204071867099
LOC8084241	0.160022738815885	0.170761436623167	0.169760959039394	3	0.160022738815885
LOC8057070	0.3196073409103009	0.16001824987972818	0.1724595427358133	3	0.16001824987972818
LOC8079808	0.176978169818777	0.15884973971540198	0.216164599731544	3	0.15884973971540198
LOC110434661	0.213625435687917	0.15846538201316598	0.23761296313561198	3	0.15846538201316598
LOC110434309	0.213625435687917	0.15846538201316598	0.23761296313561198	3	0.15846538201316598
LOC8078871	0.2058725703190023	0.18679244140604548	0.1584442401092081	3	0.1584442401092081
LOC110432620	0.1583644411657913	0.1756801187370349	0.22946605043974613	3	0.1583644411657913
LOC8073464	0.156783378148661	0.16858446748348593	0.1670497599238036	3	0.156783378148661
LOC8062372	0.173792657042495	0.1525877297541432	0.241927629540813	3	0.1525877297541432
TRNAL-AAG	0.1515595905872272	0.1547952405998822	0.1519626677736404	3	0.1515595905872272
LOC8076547	0.1509787695864846	0.1532967725245881	0.22701114623945692	3	0.1509787695864846
LOC110429868	0.1505171914303521	0.1531838848051536	0.1515590959693338	3	0.1505171914303521
LOC8058725	0.16361643974993523	0.1510269315110265	0.150336874527843	3	0.150336874527843
LOC8055385	0.15241576311748098	0.1578762355929034	0.1492880533924301	3	0.1492880533924301
LOC110436891	0.1631748571326003	0.1492582358787829	0.2353603829973445	3	0.1492582358787829
LOC8072570	0.15358757888867797	0.14873859362289002	0.28607535787389193	3	0.14873859362289002
LOC110430404	0.17539928178253558	0.1476380125738495	0.4242964036047495	3	0.1476380125738495
LOC8058526	0.178571932973628	0.14576449989534002	0.276165832829165	3	0.14576449989534002
LOC8068260	0.270489788517458	0.14572453809849203	0.149516679541504	3	0.14572453809849203
LOC8077685	0.19586426612389332	0.1724040882215435	0.1444806878333702	3	0.1444806878333702
LOC110435536	0.15173418173871198	0.143838983205048	0.15181896282662602	3	0.143838983205048
LOC8059189	0.14320352366177802	0.258585987412005	0.14868392181597598	3	0.14320352366177802
LOC110430105	0.1427264728270416	0.1522486332739418	0.1471177703104139	3	0.1427264728270416
LOC8079323	0.209582151179787	0.1796879924863402	0.14152645743415948	3	0.14152645743415948
LOC8073062	0.1556711195697404	0.14249040757236311	0.1411098000462484	3	0.1411098000462484
LOC8071962	0.1408570431392514	0.2327887594081473	0.22650024893996187	3	0.1408570431392514
LOC8070317	0.146976589429903	0.140143059674335	0.16576361304399298	3	0.140143059674335
LOC8083274	0.1466860116558013	0.176630256831925	0.1393357631194601	3	0.1393357631194601
LOC8068190	0.138663625938176	0.138152753941601	0.14853211676232803	3	0.138152753941601
LOC8075154	0.14621316862922298	0.13780459920577903	0.17610921976124003	3	0.13780459920577903
LOC8085997	0.19876471449595803	0.171439877535351	0.137295026760466	3	0.137295026760466
LOC8081782	0.1367200276319756	0.22336653985407467	0.1609309344595235	3	0.1367200276319756
LOC110435094	0.1361612205245219	0.15663862913406418	0.16894105534490178	3	0.1361612205245219
LOC8063856	0.169374776565418	0.13513584325411102	0.14254368598674202	3	0.13513584325411102
LOC8081449	0.149853031946134	0.14354819603938898	0.134458904454732	3	0.134458904454732
LOC8081448	0.149853031946134	0.14354819603938898	0.134458904454732	3	0.134458904454732
LOC8084137	0.13424587429026902	0.13687899021436598	0.1517979685662759	3	0.13424587429026902
LOC8081161	0.13424171496266502	0.138330110539475	0.15548117717413396	3	0.13424171496266502
LOC8071080	0.166462312723968	0.149571486816503	0.13371575829616797	3	0.13371575829616797
LOC8084914	0.169837625660114	0.133651766120958	0.192182661634204	3	0.133651766120958
LOC8082880	0.173342132082852	0.133540864241148	0.17587535345311597	3	0.133540864241148
LOC110430469	0.1334333683449929	0.1521825214787222	0.165177076956706	3	0.1334333683449929
LOC110430199	0.1334333683449929	0.1521825214787222	0.165177076956706	3	0.1334333683449929
LOC8084227	0.13324209633427608	0.1335516295058119	0.13908872568824882	3	0.13324209633427608
LOC8069038	0.14549409434486793	0.13320034031622902	0.22264874106176757	3	0.13320034031622902
LOC8060481	0.1330882178168702	0.153864751126692	0.17018458776615097	3	0.1330882178168702
LOC110432181	0.17238088378111702	0.132795205542836	0.17879607984228596	3	0.132795205542836
LOC8078958	0.1604541200508284	0.1324311046894528	0.1345929248977156	3	0.1324311046894528
LOC110434955	0.132129900040844	0.2350110506326486	0.218823088108305	3	0.132129900040844
LOC8057541	0.137325560800662	0.132076287533334	0.15804195950094	3	0.132076287533334
LOC110433204	0.147651800285172	0.1614477237537548	0.13192046206702412	3	0.13192046206702412
TRNAC-GCA	0.14751670739470799	0.131804095945895	0.3139878266521039	3	0.131804095945895
LOC110433835	0.13146993647213	0.15620666258454302	0.154826849529173	3	0.13146993647213
LOC8074716	0.13651790716631504	0.13141705817251698	0.16756484049404202	3	0.13141705817251698
LOC8060401	0.154193548131118	0.13104447928328197	0.14504040340186203	3	0.13104447928328197
LOC8082346	0.1337797944205618	0.1309498275266044	0.1550143354233949	3	0.1309498275266044
LOC8083557	0.1306993965794141	0.1435940801583519	0.1996860356614019	3	0.1306993965794141
LOC8060712	0.15051330157062803	0.1304216773703665	0.16508031905536438	3	0.1304216773703665
LOC8059534	0.15541670991294398	0.26378755262491604	0.130145861608272	3	0.130145861608272
LOC8081775	0.148138189456561	0.129946894499328	0.14537733486119797	3	0.129946894499328
LOC8072440	0.165527238818979	0.12968465026342102	0.16198629569503598	3	0.12968465026342102
LOC8078652	0.155887783132929	0.1280381695554684	0.1609727241557023	3	0.1280381695554684
LOC8054677	0.2459378737944291	0.1279031449096385	0.1770641233963974	3	0.1279031449096385
LOC8078495	0.2145285043711731	0.1275405558012987	0.22747754320851932	3	0.1275405558012987
LOC8063686	0.168736736025564	0.12710147110757303	0.19369489962573602	3	0.12710147110757303
LOC8079389	0.1268824730026325	0.17263686572321538	0.13799847777152122	3	0.1268824730026325
LOC8080366	0.1268824730026325	0.17263686572321538	0.13799847777152122	3	0.1268824730026325
LOC110432244	0.13890762762753198	0.1264881417250576	0.1683048687659711	3	0.1264881417250576
LOC8082878	0.158183066618129	0.125583931780655	0.15078978355041003	3	0.125583931780655
LOC8069218	0.125296729967981	0.1331852024803748	0.1352149300908737	3	0.125296729967981
LOC8074615	0.12515802466391202	0.1301729707114441	0.170530926683397	3	0.12515802466391202
LOC8074614	0.12515802466391202	0.1301729707114441	0.170530926683397	3	0.12515802466391202
LOC8062799	0.1248596996005871	0.207462389980484	0.12479118953396201	3	0.12479118953396201
LOC8073649	0.13645770367328658	0.1767454682832128	0.12455679380280141	3	0.12455679380280141
LOC8056042	0.167175332360608	0.13478212347930002	0.1243864065585205	3	0.1243864065585205
LOC8155467	0.1348028565024903	0.1286373575377386	0.12391805330008959	3	0.12391805330008959
LOC110436268	0.15458080837404953	0.1235762358137967	0.1740150189049583	3	0.1235762358137967
LOC8055652	0.16683553307832497	0.123543673471466	0.17774299152203002	3	0.123543673471466
LOC110431980	0.1234683498426582	0.1261528929769658	0.1402872952469177	3	0.1234683498426582
LOC8065205	0.1231781060388999	0.29039240454487036	0.25297687910759964	3	0.1231781060388999
LOC8073876	0.1310214661159528	0.12308478463296231	0.15605122648299857	3	0.12308478463296231
LOC110434576	0.1310214661159528	0.12308478463296231	0.15605122648299857	3	0.12308478463296231
LOC8055404	0.14913139251509339	0.13569496720588362	0.1228363990690362	3	0.1228363990690362
LOC8072169	0.1659291029439215	0.1224076528005294	0.1410069265069437	3	0.1224076528005294
LOC110431662	0.122407469109687	0.171559674818152	0.1658780053952368	3	0.122407469109687
LOC8083744	0.15139467440511648	0.12200873795729049	0.161326641101235	3	0.12200873795729049
LOC8082616	0.12386597720054081	0.12147867553892691	0.1965734390142079	3	0.12147867553892691
LOC8062664	0.12120548307935299	0.1319210248060313	0.1473908743719955	3	0.12120548307935299
LOC8080136	0.12117030585210489	0.1264112781409212	0.1573587139234946	3	0.12117030585210489
LOC110433179	0.1464838955383111	0.12643177794647198	0.12078620035782403	3	0.12078620035782403
LOC8077455	0.1464838955383111	0.12643177794647198	0.12078620035782403	3	0.12078620035782403
LOC8054726	0.1804137295588257	0.12066233633111871	0.1358627727418214	3	0.12066233633111871
LOC8080210	0.12482909712610411	0.12031316983206308	0.3865325535538597	3	0.12031316983206308
LOC110432580	0.1332844124402104	0.1407485579695837	0.11925720921571109	3	0.11925720921571109
LOC8067185	0.13192620988157922	0.1185942333098929	0.13414226830613318	3	0.1185942333098929
LOC110437323	0.1710080450512032	0.1184660158945076	0.12708291463928623	3	0.1184660158945076
LOC8070456	0.13392452001849411	0.1491515007742426	0.11838248812698529	3	0.11838248812698529
LOC110431141	0.11836414999816759	0.1483281043146896	0.19750809279584497	3	0.11836414999816759
LOC8058038	0.12325555696339109	0.1181101264405391	0.13406409251905332	3	0.1181101264405391
LOC8085230	0.118048285784484	0.12475875470690859	0.1429488072671202	3	0.118048285784484
LOC110431906	0.185925513936668	0.1358776090843421	0.1179928229334678	3	0.1179928229334678
LOC8063213	0.185925513936668	0.1358776090843421	0.1179928229334678	3	0.1179928229334678
LOC8066251	0.185925513936668	0.1358776090843421	0.1179928229334678	3	0.1179928229334678
LOC8081127	0.231571700927866	0.1178670024563302	0.3390064745221096	3	0.1178670024563302
LOC8057474	0.11780773916218469	0.1343488947567401	0.141241646406912	3	0.11780773916218469
LOC8086455	0.142853882999483	0.11676187100607299	0.1529524935190816	3	0.11676187100607299
